event_id,url,title,article_text,published,effective_at,expires_at,event_type,matched_phrases,performance_delta,availability_delta,uncertainty_delta,confidence
24d5ab28a337815e0f77,https://www.vlr.gg/706781/siufatbb-leaves-the-wolfpack-lands-with-tyloo,"SiuFatBB leaves the wolfpack, lands with TYLOO","SiuFatBB leaves the wolfpack, lands with TYLOO The star of the Wolves show joins TYLOO.",2026-06-27T00:00:00,2026-06-27T00:00:00,2026-09-10T00:00:00,roster_join,joins,0.0,0.0,0.08,0.85
49d1c3c4b9e6c4d8cfc4,https://www.vlr.gg/706641/frost-out-of-global-esports-platoon-promoted-to-head-coach,"FrosT out of Global Esports, Platoon promoted to Head Coach","FrosT out of Global Esports, Platoon promoted to Head Coach The former TALON Head Coach has been let go from Global Esports ahead of Stage 2.",2026-06-26T00:00:00,2026-06-26T00:00:00,2026-07-31T00:00:00,unavailable,out of,0.0,-0.35,0.18,0.9
7f9824cc253edb0e90de,https://www.vlr.gg/706652/rrq-adds-former-motiv-naos-player-xan,"RRQ adds former Motiv, NAOS player Xan","RRQ adds former Motiv, NAOS player Xan Some new youth joins RRQ at the midway point of the season.",2026-06-26T00:00:00,2026-06-26T00:00:00,2026-09-09T00:00:00,roster_join,joins;adds,0.0,0.0,0.08,0.85
ca8cf76307138e95c554,https://www.vlr.gg/706655/neilzinho-to-miss-upcoming-events-with-team-heretics,neilzinho to miss upcoming events with Team Heretics,neilzinho to miss upcoming events with Team Heretics A ruptured ACL and torn meniscus has left neilzinho unable to walk.,2026-06-26T00:00:00,2026-06-26T00:00:00,2026-07-24T00:00:00,injury,torn,-0.08,-0.12,0.12,0.9
687ced9e63029b61d158,https://www.vlr.gg/706655/neilzinho-to-miss-upcoming-events-with-team-heretics,neilzinho to miss upcoming events with Team Heretics,neilzinho to miss upcoming events with Team Heretics A ruptured ACL and torn meniscus has left neilzinho unable to walk.,2026-06-26T00:00:00,2026-06-26T00:00:00,2026-07-31T00:00:00,unavailable,miss,0.0,-0.35,0.18,0.9
1d34a1fed1823e4ea544,https://www.vlr.gg/706659/kr-brings-back-the-heat,KRÜ brings (back) the heat,KRÜ brings (back) the heat KRÜ brings back its smile ahead of Stage 2.,2026-06-26T00:00:00,2026-06-26T00:00:00,2026-07-24T00:00:00,return,back,0.02,0.25,-0.1,0.8
8771dbdd3959c550b9e1,https://www.vlr.gg/706074/miniboo-moves-to-team-liquids-bench-by-request,MiniBoo moves to Team Liquid's bench by request,"MiniBoo moves to Team Liquid's bench by request Not even a year after joining the squad, MiniBoo is seeing out the rest of the 2026 season on Liquid's sideline.",2026-06-25T00:00:00,2026-06-25T00:00:00,2026-10-23T00:00:00,benching,bench,0.0,-0.7,0.25,0.95
103fdfa068631a4c0dc0,https://www.vlr.gg/706086/navi-completes-roster-with-cyvoph-assistant-coach-salah,"NAVI completes roster with CyvOph, assistant coach salah","NAVI completes roster with CyvOph, assistant coach salah Get the NAVI caps ready!",2026-06-25T00:00:00,2026-06-25T00:00:00,2026-08-24T00:00:00,roster_complete,completes roster,0.0,0.0,-0.08,0.75
345a2f230cd249183b29,https://www.vlr.gg/705799/funplus-phoenix-transfers-berlin-to-jdg-esports,FunPlus Phoenix transfers BerLIN to JDG Esports,FunPlus Phoenix transfers BerLIN to JDG Esports BerLIN's transfer leaves FPX with just three players ahead of VCT CN Stage 2.,2026-06-24T00:00:00,2026-06-24T00:00:00,2026-12-21T00:00:00,roster_exit,leaves,0.0,-0.85,0.28,0.95
55dc5f901601ee13c0eb,https://www.vlr.gg/705813/filu-benched-from-natus-vincere-ahead-of-stage-2,Filu benched from Natus Vincere ahead of Stage 2,Filu benched from Natus Vincere ahead of Stage 2 NAVI continues its restructure after missing out on London and Paris.,2026-06-24T00:00:00,2026-06-24T00:00:00,2026-10-22T00:00:00,benching,benched,0.0,-0.7,0.25,0.95
